ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
3959,0,175,-3.9000000953674316,9.300000190734863,8.15999984741211,12.010000228881836,-76.29166666666656,54.208333333333336
3960,0,29,8.600000381469727,4.099999904632568,13.369999885559082,10.84000015258789,-128.2083333333331,51.958333333333336
3961,0,1910,10.199999809265137,14.699999809265137,74.81999969482422,8.479999542236328,-117.12499999999977,37.04166666666667
3962,0,656,8.800000190734863,14.899999618530273,9.039999961853027,12.430000305175781,-100.37499999999983,43.458333333333336
3963,0,376,2.299999952316284,11.199999809265137,10.039999961853027,11.600000381469727,-76.625,47.04166666666667
3964,0,1924,7.900000095367432,16.200000762939453,102.16999816894531,8.600000381469727,-108.3749999999998,39.375
3965,0,299,-3.799999952316284,11,5.829999923706055,12.329999923706055,-100.04166666666649,56.958333333333336
3966,0,250,-6.800000190734863,9.899999618530273,6.329999923706055,12.520000457763672,-96.12499999999983,58.04166666666667
3967,0,1424,5.400000095367432,15.399999618530273,66.76000213623047,8.84000015258789,-117.87499999999977,44.458333333333336
3968,0,276,-5.800000190734863,9.699999809265137,6.380000114440918,12.020000457763672,-122.29166666666643,63.708333333333336
3969,0,1865,11.399999618530273,17.600000381469727,20.489999771118164,11.25,-106.45833333333314,34.375
3970,0,175,9.100000381469727,9.199999809265137,1.3200000524520874,14.75,-86.7083333333332,42.54166666666667
3971,0,270,-5.599999904632568,10.5,6.489999771118164,12.25,-96.70833333333317,57.29166666666667
3972,0,328,3.799999952316284,10.600000381469727,16.18000030517578,11.300000190734863,-82.62499999999987,46.375
3973,0,314,-0.699999988079071,11.699999809265137,2.369999885559082,13.319999694824219,-114.62499999999979,58.04166666666667
3974,0,1901,0.800000011920929,12.899999618530273,144.10000610351562,7.789999961853027,-114.54166666666646,48.79166666666667
3975,0,351,-5.5,8.399999618530273,11.710000038146973,11.510000228881836,-73.79166666666657,55.625
3976,0,527,11.699999809265137,14.399999618530273,8.960000038146973,12.6899995803833,-98.37499999999983,39.29166666666667
3977,0,1534,6.400000095367432,17.299999237060547,19.040000915527344,11.210000038146973,-107.54166666666647,43.79166666666667
3978,0,256,2.700000047683716,11.100000381469727,37.81999969482422,10.039999961853027,-68.54166666666659,47.54166666666667
3979,0,295,-9.199999809265137,9.100000381469727,3.9600000381469727,13.079999923706055,-104.54166666666649,62.458333333333336
3980,0,1780,0.10000000149011612,9.699999809265137,201.55999755859375,7.21999979019165,-125.87499999999976,51.79166666666667
3981,0,1169,3.299999952316284,14,34.02000045776367,10.59000015258789,-113.87499999999979,50.29166666666667
3982,0,587,1.899999976158142,12.399999618530273,3.109999895095825,13.100000381469727,-102.95833333333314,50.458333333333336
3983,0,684,1.399999976158142,12.399999618530273,7.389999866485596,12.079999923706055,-112.20833333333313,54.375
3984,0,210,6.400000095367432,11.399999618530273,5.230000019073486,12.510000228881836,-75.54166666666657,44.125
3985,0,408,-6,9.399999618530273,8.069999694824219,11.670000076293945,-102.45833333333316,59.041666666666664
3986,0,1666,-2.299999952316284,10.399999618530273,95.9000015258789,8,-129.7916666666664,57.04166666666667
